date,LocationAbbr,symbol,price
2014,NJ,New Jersey,26.9
2014,NM,New Mexico,28.4
2014,NY,New York,27
2014,NC,North Carolina,29.7
2014,ND,North Dakota,32.2
2014,OH,Ohio,32.6
2014,OK,Oklahoma,33
2014,OR,Oregon,27.9
2014,PA,Pennsylvania,30.2
2014,RI,Rhode Island,27
2014,SC,South Carolina,32.1
2014,SD,South Dakota,29.8
2014,TN,Tennessee,31.2
2014,TX,Texas,31.9
2014,UT,Utah,25.7
2014,VT,Vermont,24.8
2014,VA,Virginia,28.5
2014,WA,Washington,27.3
2014,WV,West Virginia,35.7
2014,WI,Wisconsin,31.2
2014,WY,Wyoming,29.5
2015,US,National,28.9
2015,AL,Alabama,35.6
2015,AK,Alaska,29.8
2015,AZ,Arizona,28.4
2015,AR,Arkansas,34.5
2015,CA,California,24.2
2015,CO,Colorado,20.2
2015,CT,Connecticut,25.3
2015,DE,Delaware,29.7
2015,FL,Florida,26.8
2015,GA,Georgia,30.7
2015,HI,Hawaii,22.7
2015,ID,Idaho,28.6
2015,IL,Illinois,30.8
2015,IN,Indiana,31.3
2015,IA,Iowa,32.1
2015,KS,Kansas,34.2
2015,KY,Kentucky,34.6
2015,LA,Louisiana,36.2
2015,ME,Maine,30
2015,MD,Maryland,28.9
2015,MA,Massachusetts,24.3
2015,MI,Michigan,31.2
2015,MN,Minnesota,26.1
2015,MS,Mississippi,35.6
2015,MO,Missouri,32.4
2015,MT,Montana,23.6
2015,NE,Nebraska,31.4
2015,NV,Nevada,26.7
2015,NH,New Hampshire,26.3
2015,NJ,New Jersey,25.6
2015,NM,New Mexico,28.8
2015,NY,New York,25
2015,NC,North Carolina,30.1
2015,ND,North Dakota,31
2015,OH,Ohio,29.8
2015,OK,Oklahoma,33.9
2015,OR,Oregon,30.1
2015,PA,Pennsylvania,30
2015,RI,Rhode Island,26
2015,SC,South Carolina,31.7
2015,SD,South Dakota,30.4
2015,TN,Tennessee,33.8
2015,TX,Texas,32.4
2015,UT,Utah,24.5
2015,VT,Vermont,25.1
2015,VA,Virginia,29.2
2015,WA,Washington,26.4
2015,WV,West Virginia,35.6
2015,WI,Wisconsin,30.7
2015,WY,Wyoming,29
